	630
википедии	2
текущая	2
пока	2
проверялась	2
опытными	2
участниками	2
значительно	2
отличаться	2
версии	2
проверенной	2
октября	2
проверки	2
требуют	2
правки	2
поиск	2
другие	2
значения	2
солдаты	2
самолета	2
смерти	2
танк	2
полуострова	2
восстановление	2
джабера	2
санкций	2
против	2
сшасша	2
кувейткувейт	2
великобританиявеликобритания	2
аравиясаудовская	2
францияфранция	2
канадаканада	2
египетегипет	2
сириясирия	2
катаркатар	2
оаэоаэ	2
бангладешбангладеш	2
оман	2
поддержке	2
аргентинааргентина	2
австралияавстралия	2
бельгиябельгия	2
чехословакиячехословакия	2
даниядания	2
испанияиспания	2
италияиталия	2
пакистанпакистан	2
филиппиныфилиппины	2
мароккомарокко	2
новая	2
зеландияновая	2
зеландия	2
японияяпония	2
нигернигер	2
нидерландынидерланды	2
норвегиянорвегия	2
польшапольша	2
португалияпортугалия	2
грециягреция	2
венгриявенгрия	2
сенегалсенегал	2
кореяреспублика	2
корея	2
норман	2
фахд	2
абдул-азиз	2
халед	2
абд	2
али	2
аль-маджид	2
сторон	2
иракский	2
басра	2
анфаль	2
между	2
высокоточного	2
мнению	2
многих	2
сми	2
приняли	2
почти	2
ссср	2
союз	2
оккупация	2
реакция	2
общественности	2
многонациональные	2
израиль	2
пострадавшим	2
литература	2
группой	2
персидского	2
залива	2
частью	2
фактически	2
официально	2
империи	2
право	2
бывшей	2
которая	2
ввиду	2
наземные	2
успела	2
аэродромы	2
эль-кувейт	2
кувейтской	2
армией	2
кризиса	2
эмира	2
значительные	2
погиб	2
совет	2
принял	2
состав	2
й	2
город	2
прибывать	2
резолюции	2
которые	2
эти	2
временем	2
так	2
без	2
мужчины	2
хусейна	2
захватили	2
бронетехники	2
группировка	2
сразу	2
странами	2
западных	2
он	2
ноября	2
чтобы	2
предоставила	2
военной	2
освобождению	2
различных	2
основном	2
составе	2
дивизию	2
флота	2
подразделение	2
химической	2
воинский	2
фрегат	2
бронетанковые	2
транспортный	2
боевая	2
корабли	2
дивизия	2
участия	2
значительная	2
сумму	2
пустыне»[править	2
наземных	2
обстрелами	2
израиля	2
баллистическими	2
ракетами	2
экологического	2
персидский	2
наступления	2
где	2
суток	2
прекращении	2
соглашение	2
полностью	2
потерям	2
включены	2
некоторые	2
их	2
боевые	2
убитыми	2
я	2
своим	2
выведено	2
строя	2
бмп	2
сау	2
вертолёта	2
получили	2
повреждения	2
бронемашин	2
неизвестное	2
оаэ	2
убито	2
кувейтских	2
американского	2
причинам	2
сумме	2
безвозвратных	2
авиационных	2
сообщалось	2
ещё	2
официальным	2
бомбардировки	2
бомбоубежища	2
период	2
иракским	2
амер	2
боях	2
составили	2
иран	2
израилю	2
производства	2
ракеты	2
ущерб	2
экологии	2
горящих	2
истории	2
уран	2
американских	2
химического	2
оборудования	2
об	2
выплаты	2
день	2
письмо	2
представителя	2
من	2
жирохов	2
c	2
использования	2
حرب	2
الخليج	2
الثانية	2
тульфах	2
шаблон:вооружённый_конфликт	2
шаблон:карточка	2
шаблон:вс	2
шаблон:книга	2
шаблон:флагификация	2
шаблон:карточка/викисклад	2
аравиивойны	2
инструменты	2
условия	2
википедия	1
=	1
хусейн","война	1
аргентины","войны	1
великобритании","войны	1
египта","войны	1
ирака","войны	1
канады","войны	1
кувейта","войны	1
сирии","войны	1
сша","войны	1
франции","войны	1
материал	1
свободной	1
энциклопедии	1
перейти	1
термина	1
сверху	1
часовой	1
стрелке	1
пролетает	1
горящими	1
нефтяными	1
скважинами	1
британские	1
вид	1
камеры	1
шоссе	1
место	1
север	1
аравийского	1
причина	1
аннексия	1
итог	1
решительная	1
победа	1
вывод	1
власти	1
ас-сабаха	1
введение	1
восстание	1
шиитов	1
курдов	1
создание	1
бесполётных	1
зон	1
севере	1
юге	1
противники	1
международная	1
коалиция	1
драдра	1
бахрейнбахрейн	1
сссрссср	1
иорданияиордания	1
оопооп	1
судансудан	1
йеменйемен	1
ливия	1
командующие	1
джабер	1
саад	1
джордж	1
буш	1
колин	1
пауэлл	1
аль-азиз	1
мукрин	1
маргарет	1
тэтчер	1
джон	1
мэйджор	1
брайан	1
малруни	1
франсуа	1
миттеран	1
хосни	1
мубарак	1
мухаммед	1
тантави	1
хафез	1
асад	1
мустафа	1
тлас	1
хамад	1
халифа	1
тани	1
мирза	1
аслам	1
бек	1
хуссейн	1
мохаммад	1
эршад	1
азиз	1
ан-нуман	1
хашим	1
иззат	1
ибрагим	1
ад-дури	1
камель	1
абед	1
хамид	1
махмуд	1
аудио	1
фото	1
видео	1
навикискладе	1
заливекувейт	1
история	1
исторические	1
области	1
месопотамия	1
курдистан	1
античность	1
шумер	1
аккад	1
вавилония	1
митанниассирия	1
нововавилонское	1
царство	1
держава	1
ахеменидов	1
средние	1
лахмиды	1
омейяды	1
аббасиды	1
буиды	1
джалаириды	1
новое	1
кара-коюнлу	1
ак-коюнлу	1
османские	1
вилайеты	1
багдад	1
мосул	1
современность	1
месопотамская	1
кампания	1
британский	1
мандат	1
месопотамии	1
королевство	1
революция	1
ирано-иракская	1
портал:ирак	1
многонациональными	1
главе	1
мандату	1
освобождение	1
независимости	1
конфликт	1
известен	1
невиданным	1
времени	1
размахом	1
применения	1
точки	1
зрения	1
количества	1
влиянию	1
ход	1
умного	1
специалистов	1
знаменовало	1
начало	1
новой	1
эпохи	1
военном	1
искусстве	1
благодаря	1
самому	1
широкому	1
освещению	1
процесса	1
телевизионной	1
бывшие	1
союзники	1
соцлагерю	1
сам	1
советский	1
находившийся	1
грани	1
распада	1
впервые	1
поддержал	1
содержание	1
предпосылки	1
примечания	1
источники	1
предпосылки[править	1
основан	1
веке	1
бедуинских	1
кланов	1
переселившихся	1
берегу	1
внутренних	1
районов	1
катарского	1
статус	1
достаточно	1
неопределённым	1
османская	1
империя	1
считала	1
своей	1
шейхи	1
проводили	1
независимую	1
стамбула	1
политику	1
конце	1
попал	1
зависимость	1
великобритании	1
стал	1
протекторатом	1
британской	1
независимость	1
страна	1
вторгся	1
августе	1
снова	1
е	1
годы	1
предъявив	1
претензии	1
управлять	1
эмиратом	1
каковой	1
традиции	1
считается	1
османской	1
обвинив	1
южного	1
соседа	1
воровстве	1
бурение	1
технологии	1
наклонных	1
специально	1
предоставлена	1
кувейту	1
приграничных	1
месторождений	1
участии	1
международном	1
антииракском	1
заговоре	1
кувейта[править	1
вторжение[править	1
ночью	1
четыре	1
регулярные	1
вторглись	1
полного	1
военного	1
превосходства	1
вели	1
сдерживающие	1
бои	1
то	1
отступая	1
территорию	1
перебазироваться	1
саудовские	1
исходу	1
дня	1
находился	1
под	1
контролем	1
успех	1
предопределён	1
значительным	1
количественным	1
качественным	1
перевесом	1
национальной	1
потерпел	1
серьёзную	1
неудачу	1
сказавшуюся	1
дальнейшем	1
развитии	1
иракскому	1
спецназу	1
удалось	1
захватить	1
попытка	1
вертолётного	1
десанта	1
эль-кувейте	1
целью	1
натолкнулась	1
противодействие	1
спецназа	1
понесли	1
эмир	1
успел	1
эвакуироваться	1
однако	1
брат	1
штурме	1
дворцового	1
комплекса	1
общественности[править	1
которой	1
осудил	1
потребовал	1
немедленно	1
вывести	1
руководство	1
проигнорировало	1
эту	1
установлено	1
временное	1
правительство	1
которое	1
обратилось	1
просьбой	1
включить	1
свой	1
объявлено	1
фактической	1
аннексии	1
присоединена	1
провинции	1
оставшаяся	1
территория	1
провозглашена	1
провинцией	1
переименован	1
кадхиму	1
беженцы	1
продолжал	1
регулярно	1
возвращаться	1
кувейтскому	1
кризису	1
принимать	1
концу	1
таковых	1
вынесено	1
наложен	1
введена	1
морская	1
блокада	1
ответ	1
задержаны	1
граждане	1
тех	1
государств	1
санкциях	1
люди	1
оказались	1
положении	1
заложников	1
использовались	1
политического	1
манипулирования	1
декабре	1
проблема	1
иностранных	1
окончательно	1
решена	1
известны	1
многочисленные	1
факты	1
мародёрства	1
оккупированном	1
корреспондент	1
газеты	1
известия	1
борис	1
иванов	1
описывал	1
увиденное	1
им	1
столице	1
городу	1
те	1
дни	1
бродили	1
толпы	1
неся	1
одной	1
руке	1
автомат	1
другой	1
раздувшуюся	1
невероятных	1
размеров	1
украденных	1
вещей	1
сумку	1
технология	1
грабежей	1
доведена	1
совершенства	1
правило	1
офицер	1
подчинённых	1
подъезжал	1
машине	1
облюбованному	1
заранее	1
магазину	1
команде	1
вышибали	1
дверь	1
окно	1
организованно	1
лишней	1
суеты	1
начинали	1
загружать	1
автомобиль	1
товарами	1
международные	1
правозащитные	1
отмечали	1
многие	1
подвергались	1
пыткам	1
женщины	1
изнасилованиям	1
огромное	1
пустыни»[править	1
кувейтско-саудовской	1
границе	1
появилась	1
крупная	1
происходить	1
пограничные	1
инциденты	1
связанные	1
нарушением	1
иракскими	1
подразделениями	1
намерения	1
президента	1
оставались	1
неясными	1
аналитиков	1
предполагали	1
теперь	1
попытаться	1
вторгнуться	1
располагавшую	1
явно	1
недостаточной	1
отражения	1
подобного	1
контроль	1
двумя	1
обладающими	1
огромными	1
запасами	1
позволил	1
бы	1
существенно	1
влиять	1
нефтяной	1
рынок	1
этих	1
соображений	1
предложили	1
разместить	1
её	1
воинские	1
некоторых	1
колебаний	1
король	1
дал	1
своё	1
согласие	1
американские	1
обеспечению	1
провала	1
многочисленных	1
попыток	1
склонить	1
мирному	1
урегулированию	1
предоставляла	1
полтора	1
месяца	1
прекратить	1
оккупацию	1
если	1
произойдёт	1
государства-члены	1
сотрудничающие	1
правительством	1
уполномочиваются	1
использовать	1
необходимые	1
средства	1
поддержать	1
выполнить	1
последующие	1
соответствующие	1
восстановить	1
международный	1
мир	1
безопасность	1
регионе	1
означало	1
сформировавшейся	1
тот	1
момент	1
проведение	1
мнс)[править	1
источниках	1
указывается	1
разная	1
численность	1
воинских	1
группировок	1
предоставленной	1
ими	1
техники	1
снаряжения	1
приведены	1
обобщённые	1
странам	1
внёсшим	1
вклад	1
взяты	1
компилятивного	1
источника	1
основные	1
корпус	1
полном	1
наибольший	1
численности	1
среди	1
европейских	1
ю	1
танковую	1
задействованы	1
авианосец	1
специальных	1
операциях	1
принимали	1
бойцы	1
несколько	1
две	1
медицинские	1
группы	1
афганистанафганистан	1
группа	1
афганских	1
моджахедов	1
прибыла	1
возможного	1
нападения	1
бахрейн	1
гондурасгондурас	1
воздушно-десантные	1
части	1
эскадрилья	1
корабль	1
румыниярумыния	1
сингапурсингапур	1
бронетанковая	1
сьерра-леонесьерра-леоне	1
турциятурция	1
выделяла	1
базирования	1
союзной	1
турецкой	1
находилась	1
ирако-турецкой	1
заставило	1
постоянно	1
удерживать	1
швецияшвеция	1
полевой	1
госпиталь	1
финансовая	1
помощь	1
покрытие	1
расходов	1
боевую	1
операцию	1
бесконтактная	1
фаза	1
массированные	1
удары	1
воздуха	1
задействовано	1
базировались	1
военно-воздушных	1
базах	1
авианосцах	1
отвечал	1
принимавшей	1
принимавшего	1
акциями	1
терроризма	1
сливом	1
битва	1
хафджи	1
схема	1
наземного	1
наземная	1
завершившаяся	1
освобождением	1
восстановлением	1
статус-кво	1
раннее	1
меч	1
командующий	1
межнациональными	1
генерал	1
нанес	1
основной	1
кувейтском	1
направлении	1
ожидало	1
командование	1
подготовившее	1
там	1
статичную	1
оборону	1
западнее	1
пустынном	1
вдоль	1
саудовско-иракской	1
столица	1
освобождена	1
двое	1
наступающие	1
запада	1
подошли	1
басре	1
практически	1
окружив	1
отходившие	1
выступлении	1
радио	1
поздравил	1
победой	1
коалиционными	1
признал	1
вынуждены	1
покинуть	1
утром	1
объявил	1
принятии	1
всех	1
требований	1
захваченной	1
авиабазе	1
сафван	1
подписали	1
представителями	1
четверо	1
наземной	1
освободили	1
заняли	1
непосредственно	1
поле	1
боя	1
соотношение	1
примерно	1
убитого	1
солдата	1
уничтоженную	1
сторон[править	1
мнс[править	1
обломки	1
носят	1
разрозненный	1
характер	1
наиболее	1
полные	1
приведённый	1
стран-участниц	1
понесённые	1
наибольшие	1
понесла	1
танковая	1
необычайно	1
высоким	1
уровень	1
бпла	1
два	1
принстон	1
триполи	1
подорвавшись	1
минах	1
великобритания	1
крайней	1
мере	1
ракетный	1
катер	1
катар	1
египет	1
сирия	1
франция	1
сенегал	1
повстанцев	1
неизвестны	1
ракетных	1
катеров	1
система	1
уничтожена	1
объектов	1
уничтожены	1
серьёзно	1
повреждены	1
италия	1
потерян	1
самолёт.общее	1
помимо	1
контингента	1
одним	1
другим	1
арабской	1
плюс	1
небоевых	1
разбились	1
техническим	1
угнан	1
минимальное	1
летательный	1
аппарат	1
ирака[править	1
уничтоженный	1
т	1
разные	1
оценки	1
завершения	1
достигать	1
авторы	1
придерживаются	1
высоких	1
чисел	1
согласно	1
правительства	1
опубликованным	1
жертвами	1
налётов	1
амирия	1
малозаметными	1
самолётами	1
сообщались	1
исследователя	1
карла	1
конетты	1
бомбардировок	1
вооружённые	1
потеряли	1
закопана	1
заживо	1
траншеях	1
активности	1
падения	1
военно-транспортного	1
членами	1
подполья	1
приведена	1
оценка	1
материальных	1
американским	1
первоначальной	1
поздней	1
причём	1
захваченные	1
даже	1
иранские	1
кроме	1
перелетели	1
бронетехника	1
артиллерия	1
стволов	1
артиллерии	1
повреждено	1
вмс	1
системы	1
зрк	1
квадрат	1
утратило	1
боеспособность	1
информация	1
количестве	1
пленных	1
отсутствует	1
таким	1
образом	1
общие	1
убитых	1
учёта	1
раненых	1
неизвестно	1
превышают	1
пассажирских	1
уничтоженных	1
бомбардировками	1
израиль[править	1
разрушенное	1
жилое	1
здание	1
рамат-ган	1
аль-фирдон	1
большое	1
отдан	1
приказ	1
нанесение	1
ракетного	1
удара	1
типа	1
выпустить	1
ракет	1
советского	1
самые	1
мощные	1
обстрелы	1
попадания	1
еще	1
умерли	1
различным	1
связанным	1
этими	1
неправильное	1
пользование	1
противогазом	1
сердечные	1
приступы	1
ит.д	1
медицинской	1
помощью	1
обратились	1
большинстве	1
случаев	1
речь	1
шла	1
легких	1
ранениях	1
контузиях	1
нервных	1
срывах	1
жилья	1
разбившихся	1
оконных	1
стеклах	1
четвертая	1
силе	1
мире	1
потеряла	1
союзных	1
войны[править	1
неполётные	1
зоны	1
горящая	1
нефтяная	1
скважина	1
имела	1
тяжёлые	1
экологические	1
региона	1
последние	1
недели	1
организовали	1
сброс	1
пытаясь	1
предотвратить	1
попадание	1
подвергла	1
бомбардировке	1
нефтенасосных	1
станций	1
применением	1
конца	1
вылилось	1
баррелей	1
нанесло	1
серьёзный	1
привело	1
гибели	1
птиц	1
отступлении	1
подожгла	1
нефтяные	1
скважины	1
тушение	1
завершено	1
ноябре	1
из-за	1
густого	1
дыма	1
разбился	1
самолет	1
перевозивший	1
сенегальских	1
турции	1
шли	1
чёрные	1
дожди	1
высыхание	1
озёр	1
ушло	1
всё	1
последующее	1
десятилетие	1
би-би-си	1
произошла	1
одна	1
самых	1
тяжёлых	1
экологических	1
катастроф	1
широко	1
использовали	1
боеприпасы	1
содержащие	1
обеднённый	1
использовано	1
обеднённого	1
урана	1
экспертов	1
быть	1
причиной	1
резкого	1
роста	1
заболеваний	1
местного	1
населения	1
соответствии	1
принятой	1
резолюцией	1
экспертами	1
объединённых	1
наций	1
реализована	1
программа	1
уничтожению	1
имевшегося	1
эксперты	1
ликвидировали	1
подтвердили	1
добровольную	1
ликвидацию	1
самими	1
иракцами	1
химических	1
боеприпасов	1
реагентов	1
прекурсоров	1
использовавшегося	1
похищены	1
судьбе	1
сих	1
пор	1
ничего	1
известно	1
понёс	1
большие	1
экономические	1
стоимость	1
тушения	1
восстановления	1
оценена	1
общий	1
нанесённый	1
стране	1
осторожным	1
оценкам	1
составил	1
раскопки	1
обломков	1
истребителя	1
останков	1
пилота	1
майкла	1
спичера	1
перехватчиком	1
миг	1
пострадавшим[править	1
создана	1
совбезе	1
должна	1
осуществлять	1
физическим	1
юридическим	1
лицам	1
государствам	1
международным	1
организациям	1
подлежал	1
экологический	1
вред	1
удовлетворила	1
претензий	1
общую	1
этой	1
суммы	1
реально	1
выплачено	1
производит	1
специальный	1
фонд	1
отчислений	1
экспорта	1
нефтепродуктов	1
также[править	1
викискладе	1
хронология	1
освобождения	1
проект:история/списки/список	1
войн	1
примечания[править	1
сентября	1
белоногов	1
мид	1
кремль	1
кувейтский	1
кризис	1
олма-пресс	1
указ	1
соч	1
лавренов	1
попов	1
м.глава	1
персидским	1
заливомсоветский	1
локальных	1
войнах	1
конфликтах	1
астрель	1
военно-историческая	1
библиотека	1
экз	1
–271–05709–	1
танки	1
шок	1
трепет	1
алексей	1
брусилов	1
леонид	1
карякин	1
танкомастер	1
المبحث	1
الرابع	1
إعادة	1
بناء	1
القوات	1
المسلحة	1
لكل	1
دول	1
مجلس	1
التعاون	1
الخليجي،	1
بعد	1
الحرب	1
арабский	1
фатализм	1
вторая	1
крылья	1
родины	1
михаил	1
состоянию	1
по-прежнему	1
отказывался	1
вернуть	1
полученные	1
национальных	1
ирана	1
минобороны	1
решило	1
закупить	1
резиновые	1
игрушки	1
лет	1
назад	1
выпустил	1
израилю.проверено	1
обернулась	1
экологической	1
катастрофой	1
оружие	1
икс	1
требует	1
международного	1
расследования	1
него	1
снарядов	1
обедненным	1
ураном	1
воз	1
заявляет	1
своем	1
согласии	1
гусейнова	1
г	1
солнцев	1
возмещение	1
трансграничного	1
ущерба	1
научно-аналитический	1
журнал	1
обозреватель	1
источники[править	1
л	1
галин	1
соколов	1
н	1
новичков	1
зарубежное	1
военное	1
обозрение	1
мая	1
апреля	1
–1991).проверено	1
ссылки[править	1
три	1
кувейтская	1
авантюра	1
البنتاغون	1
يستعد	1
لمواجهة	1
مخاطر	1
مرض	1
موقع	1
الجزيرة	1
хусейнбиографияпокушение	1
касема	1
слухи	1
поимка	1
следствие	1
суд	1
казньвнутренняя	1
политикабаас	1
халабджавнешняя	1
политикаирано-иракская	1
лиса	1
войнакнигизабиба	1
царь	1
неприступная	1
крепость	1
уходи	1
проклятыйсемьяотец	1
мать	1
сабха	1
аль-муссалат	1
единоутробные	1
братья	1
ватбан	1
сабауи	1
барзан	1
дядя	1
тесть	1
хейраллах	1
тульфахжёны	1
саджида	1
самира	1
шахбандар	1
нидаль	1
аль-хамдани	1
иман	1
хувейшсыновья	1
удей	1
кусей	1
дочери	1
рана	1
рагад	1
хала	1
словари	1
онлайн)нормативный	1
источник	1
категории	1
хусейнвойна	1
аргентинывойны	1
великобританиивойны	1
египтавойны	1
иракавойны	1
канадывойны	1
кувейтавойны	1
сириивойны	1
сшавойны	1
франциивойны	1
израиляскрытая	1
категория	1
персональные	1
вы	1
представились	1
системеобсуждениевкладсоздать	1
учётную	1
записьвойти	1
пространства	1
имён	1
статьяобсуждение	1
варианты	1
просмотры	1
читатьтекущая	1
версияправитьправить	1
кодистория	1
заглавная	1
страницарубрикацияуказатель	1
яизбранные	1
статьислучайная	1
статьятекущие	1
события	1
сообщить	1
ошибкесообществофорумсвежие	1
правкиновые	1
страницысправкапожертвовать	1
сюдасвязанные	1
правкиспецстраницыпостоянная	1
ссылкасведения	1
страницеэлемент	1
викиданныхцитировать	1
страницу	1
печать/экспорт	1
создать	1
книгускачать	1
печати	1
проектах	1
викисклад	1
языках	1
эта	1
страница	1
последний	1
раз	1
отредактирована	1
текст	1
доступен	1
лицензии	1
отдельных	1
случаях	1
могут	1
действовать	1
дополнительные	1
подробнее	1
зарегистрированный	1
товарный	1
знак	1
некоммерческой	1
нами	1
политика	1
конфиденциальности	1
описание	1
отказ	1
ответственности	1
разработчики	1
мобильная	1
