прямым	рпыямм	мпмыяр	мпрмяы
парусным	ымруапнс	ымпасрну	пмансруы
вооружением	рмжиевоуено	уомнежевиро	нооеумрвиеж
имевший	вйеишми	вишийем	вийшиме
на	ан	ан	на
вооружении	оеуворжини	ооуринежив	жроинувоие
			
орудий	йруоид	рдйоуи	ойдуир
малого	оаглом	моагло	ломога
и	и	и	и
среднего	енрсеодг	ерносгде	гснедеро
калибра	ааркибл	иракбал	блиарка
размещенных	хщнымеаерзн	аенехнмзрыщ	аензщхнрмеы
только	отлкьо	тьоокл	тооьлк
на	ан	на	на
верхней	вейехнр	рйхвнее	ренхвйе
палубе	лбупае	булеап	лбпуеа
открыто	кроттыо	отркыот	откторы
и	и	и	и
используемый	лпйьыземоуси	льимзоуйпсеы	пслзьимйеуоы
для	ляд	дял	лдя
разведывательной	ьнзвдортаыелйева	веыоареьйзантдвл	йвынрлеедьотзава
и	и	и	и
посыльной	лйьпоныос	йнсльыпоо	пйльсноыо
службы	бысулж	ыбужсл	лжыбсу
водоизмещение	еезновиощемид	еиидщменозвое	еиизооенщвмде
			
т	т	т	т
и	и	и	и
больше	лобшье	лшеоьб	шеолбь
название	иенавнза	винааенз	аиаензнв
происходит	сродитопих	осхтдиироп	дптиоирохс
из	зи	зи	из
системы	тысимсе	тесмыис	ссытиме
классификации	иаиифсиакслцк	ксииифаакисцл	кислсифаациик
французского	фгкрснуоозац	цфускорзгано	рзуоснцофгак
флота	афлот	лтаоф	лтофа
в	в	в	в
королевском	овоеоклсркм	осеквомоклр	рвксолмеоок
военно-морском	моов-рсменоокн	онорвмокснм-ое	окосмемнвн-роо
флоте	лефот	фоетл	теолф
великобритании	иикнотиилварбе	каболриинвиети	аквибтииеоинрл
очень	еоьнч	оьнче	еьноч
долго	олдог	одолг	гдоло
до	до	од	од
-х	х-	-х	х-
гг	гг	гг	гг
этот	отэт	этто	этот
класс	саксл	алксс	кслас
кораблей	еблйакор	ойблеарк	оелбйрка
не	ен	ен	ен
выделялся	ыеялявдлс	слвдяеяыл	яеыяслвлд
а	а	а	а
подобные	ыпнедооб	ондыпеоб	оыобнпед
лёгкие	екёгил	клеёги	гекиёл
корабли	кирбола	рабикло	рлаобик
называли	иазалныв	анаызивл	инзылаав
шлюпами	шалпимю	милпшаю	юилмпша
англ	лагн	нгла	галн
sloop-of-war	o-sal-foporw	orwl--ofapos	-ofwlo-aopsr
в	в	в	в
-х	-х	х-	-х
гг	гг	гг	гг
появились	ливоьиспя	ияьоплвис	лиосяипвь
колёсные	ыеолёксн	ныёкосел	кёоынлес
а	а	а	а
в	в	в	в
конце	коецн	нкоец	еокцн
-х	х-	-х	-х
гг	гг	гг	гг
			
парусно-винтовые	онр-впнуветысоаи	сврптувинаеоыо-н	в-твнеосырапониу
корветы	ывоктре	ркотыве	тврыкео
в	в	в	в
составе	соетсав	восетса	евсстоа
российского	сиогойсрско	ооссогисркй	косгисосйор
императорского	епоагокросмрти	октмесгпороиар	епосгктрормоаи
флота	фотла	тоафл	фтлао
суда	удас	даус	аудс
данного	ангндоо	донаогн	ннодоаг
класса	лсаакс	аскалс	ассакл
появились	ивясоиьпл	яисьполив	ьовипсяли
в	в	в	в
конце	кеонц	кноце	неоцк
xviii	xiivi	vixii	vxiii
			
начале	чаалне	лачаен	алчаен
xix	xxi	ixx	xix
вв	вв	вв	вв
до	од	до	од
середины	деесныри	несриыед	нреыесди
xix	xix	xxi	xxi
в	в	в	в
строились	тилриссьо	тсльсирио	сриьтосли
парусные	рысуенап	сыеапурн	аеыпрусн
корветы	ытроевк	етркыво	ыротевк
после	соелп	лпсое	опсле
окончания	чнняиаоко	окинняоач	окчаияонн
крымской	орскйкым	ойсккрмы	ркмйкоыс
войны	ойывн	ывонй	ывонй
им	им	им	ми
на	ан	ан	ан
смену	мнеус	еунсм	уенмс
пришли	плиирш	иришпл	плиирш
паровые	рыоаевп	поерваы	ыварепо
корветы	оетрвкы	рокывте	товкреы
ставшие	тесвшиа	вишаетс	тасшиве
основой	ойсвоно	оновойс	йсвнооо
легких	клгеих	ликегх	иелгхк
крейсерских	ерихсрекскй	хкриркейесс	ирйкрхксеес
сил	лис	сли	лис
русского	сроосгку	сосрукго	скуорсго
флота	офлта	флаот	оафлт
и	и	и	и
впоследствии	слпдоиветисв	влтсиевспдио	оиесдвсвптил
перешедшие	ешпеердише	пеедшшеиер	деиршеепше
в	в	в	в
класс	ксасл	асскл	кслса
крейсеров	евйкрроес	сейевррок	йсоркрвее
современные	нвенрсемеоы	веернмеоныс	нсреынмеоев
корветы	крвтыео	оыкрвте	рокевыт
hms	msh	msh	msh
bugloss	gblsuso	lgubsos	gssolbu
			
корвет	рквтео	вкеорт	еортвк
типа	тпаи	аитп	птиа
«флауэр»	р»лфу«аэ	р«»луаэф	а»улр«эф
времен	нремев	вреенм	евмнре
второй	вйоотр	ртйоов	отвйро
мировой	рвмоойи	мовроий	рмйоиов
войны	ыйвно	йнвыо	выойн
hms	smh	hms	hms
helsingborg	nsbeghgolri	bglesrnihgo	gbnlsgroihe
			
корвет	трокве	воекрт	етрков
типа	аитп	пати	аипт
«висбю»	б»и«сюв	в«юибс»	сви«юб»
построенный	сононпыейрт	ейронтпсоны	сытепоонйрн
с	с	с	с
применением	ннеемиепрми	нмиеепинерм	еиимеренпнм
стелс-технологий	схге-нлслттооией	лесое-ойтиснлгтх	тисхсогленй-лето
«стерегущий»	тес»«егйуирщ	йг»срут«иеещ	ееу»тсг«щийр
			
головной	ойнвлгоо	гволоойн	нлгвооой
корвет	вркоте	окверт	котерв
проекта	кптоаер	оарптке	окрепат
			
корветы	ывтреок	овткыер	трыеовк
как	как	как	кка
класс	лскас	саксл	скасл
появились	опьвясиил	пволиясиь	оиляьивпс
в	в	в	в
результате	тертеьзлуа	еутлтазьре	атзлуртеье
расширения	ашериинярс	яаиреиншср	рсирешаяин
возможностей	ноожтвезйосм	оестоойвзжмн	оожемтйвосзн
наиболее	еилбоеан	аибноеел	еоиналеб
крупных	хруынпк	ркунпхы	хкырнпу
представителей	трвеаидйселтпе	лйсдтвееиатерп	ееайслдтвтеипр
класса	аалксс	аалксс	склаас
боевых	охеыбв	вхобые	быоевх
катеров	веоакрт	квртоае	таекрво
которые	екрыото	ыеооткр	ооткыре
стали	саитл	лаист	лтиса
многоцелевыми	мемгывоцониле	гмеоеынлвмицо	ооцимгылнвеме
кораблями	кяибамрло	мкаиляроб	ролабяикм
прибрежного	ржорингебоп	пожрбренгио	гбприежрноо
действия	иестдвяй	ивтсйяед	ядйитсев
если	лиес	исел	елис
катера	еатрак	атекар	катаер
-х	х-	-х	-х
гг	гг	гг	гг
подразделялись	оьалрдедиплсзя	лаьзрдядпсеиол	пиаросдзлльедя
на	на	на	ан
ракетные	аетркены	ератныке	аретынке
и	и	и	и
противолодочные	олоенптоврыидоч	тпилоондоврчоые	воеооытндприлчо
то	то	то	то
катера	аекатр	ртеаак	реаакт
конца	аокцн	анкоц	аноцк
-х	х-	х-	х-
гг	гг	гг	гг
получили	лоплиуич	ллочипуи	чоиплиул
кроме	мркео	морек	кемор
ракет	крета	ркате	аретк
опускаемую	коупмесаюу	ауюсупкмое	меюоауксуп
гидроакустическую	тсочаркеюксудгуии	гчаикеюокдсутиурс	триеагкдкучсоуиюс
станцию	атцнюси	нтаицюс	ацсютни
и	и	и	и
-мм	-мм	м-м	м-м
торпедные	нтпоедеры	дтеынерпо	птыедерно
аппараты	аытааппр	артапыпа	параптыа
в	в	в	в
середине	риеднеес	еедсрине	рдсеееин
-х	-х	х-	х-
гг	гг	гг	гг
их	хи	их	хи
вооружение	еонжвриуое	уревоинежо	ржвиоуоене
дополнили	лднлоипио	пдллоноии	лнооиипдл
лёгким	ёлгмки	лиёкгм	гёклим
вертолётом	омётовертл	етотвмлёор	оевлртоётм
в	в	в	в
настоящее	щсаяетеон	саняеоетщ	ясаетощне
время	рвемя	рвяме	явмер
беспилотными	лбиеопнтмыси	лымобисинпет	нмсиыбеиоплт
для	ялд	для	ялд
выдачи	иадычв	авыдчи	вчыади
целеуказания	ецзуеинаалкя	еацнукелзаяи	нацеиаяузелк
противокорабельным	тиекалоыпроонрьбвм	обытполормвеакьнри	ерротвакблыпоиоьмн
ракетам	метакра	рмааект	рмааект
поскольку	уьосклопк	копьколсу	лсьпуккоо
дальность	лтдаььсно	ьлоьасднт	лотасььдн
стрельбы	еыьрбтсл	ьлеытбср	ьртебсыл
пкр	кпр	рпк	кпр
возросла	врлазсоо	лозвосра	всалоорз
к	к	к	к
тому	туом	оумт	тумо
времени	евмрени	виенрме	веенрим
до	од	од	од
			
км	км	мк	км
в	в	в	в
результате	рьеуатлтез	атрьлезтеу	зрттьауеел
водоизмещение	имденевощезио	еиозщнвеедоми	змиооещеидевн
таких	тхиак	актхи	атихк
катеров	ктроеав	крвотеа	втраоке
доросло	содоолр	олордос	лоосодр
до	од	до	до
			
т	т	т	т
и	и	и	и
эти	эти	итэ	эти
корабли	бликроа	лиобкар	оарлкби
в	в	в	в
некоторых	онкоыретх	роныкохет	ноекхрыот
флотах	лхаотф	охтафл	лоахтф
стали	ситла	аитлс	тилас
называть	завьтаын	вьыатанз	ыатзньва
корветами	аметрквио	мрваетоик	мтевираок
в	в	в	в
настоящее	онстеещяа	антсоеещя	оняесщтеа
время	емярв	яевмр	мряев
корветами	еотвмаикр	еоравмкит	отвеамрик
считаются	чстяасюит	саюисчтят	иаюяттссч
эскортные	ныксертоэ	роесынткэ	откныресэ
корабли	иалкорб	облкари	абоирлк
специальной	синеопьцлай	ейиаолнспць	сйнцьеоиапл
постройки	ирсопйтко	киосйтрпо	токпорсий
появившиеся	шявсивпяеио	весяпивояиш	овесяиившпя
в	в	в	в
вмс	вмс	смв	мсв
сша	асш	шас	саш
и	и	и	и
великобритании	иавентболииикр	ииаитробивнекл	икиилиеробнвта
в	в	в	в
период	пеорид	опидер	пеорди
второй	ройтов	рвотой	оровйт
мировой	ворйоми	омвройи	оойрвми
войны	ноывй	ойвын	йынов
водоизмещение	моиеовиенщдез	омещиниевездо	щзиедевеомоин
			
			
т	т	т	т
скорость	сткорьос	костроьс	отрссоьк
			
			
узлов	увзло	оувлз	лзову
			
км/ч	мч/к	кмч/	мкч/
вооружение	оовреинуже	уиевноореж	ороиуенвеж
			
артиллерийские	йткрллаиеиирес	елииатлсйиркре	ркилйисалиеерт
установки	онвуиатск	унавитско	австиукон
калибра	рлакаиб	аибкрла	ааирблк
			
мм	мм	мм	мм
и	и	и	и
зенитные	ыетнниез	ыентниез	ниензыет
автоматы	аваоымтт	ытовмата	отаымвта
калибра	лааркби	блаикра	бирлкаа
			
мм	мм	мм	мм
бомбомёты	обымтбёмо	бтыммёооб	момотбёыб
и	и	и	и
глубинные	лгнинбыеу	нлугнибые	иеунлнгбы
бомбы	ббмыо	бмбоы	ббомы
оборудованы	уадообвроын	бноыоруаодв	нуадвооыорб
радиолокационными	оидконмиоиацарынл	аонкицырдмииланоо	лнкрциоиноаадымои
и	и	и	и
гидроакустическими	чиссеиуриикадтогмк	исмииисекучдаотркг	гичсдеркоактииисум
средствами	двситаесмр	иедвстмрас	адвисмтрсе
воздушного	ооозвшдгун	озуноводшг	згшоуонодв
и	и	и	и
подводного	ооодогвндп	днгдовопоо	ооднвоопгд
наблюдения	юданнеибял	ебялюинанд	нбюдяалнеи
с	с	с	с
развитием	резтвмаии	иивемтзра	реатмиивз
ракетного	рогнетаок	кноагеорт	ергакноот
оружия	иоружя	риуяжо	уржяио
оснащаются	янсщасоюта	нссоатщаюя	сяюощсатан
ракетными	еыиматкнр	нмаыриект	еткинмрыа
установками	нвамкустиао	асоимвткнуа	кнавмтсиуоа
самые	ыесма	амсые	ысаем
массовые	свыаемос	вессоамы	оемвссыа
корветы	рквтеоы	теворкы	твыерок
второй	твйоор	тоойрв	ройвто
мировой	воимрйо	омийрво	оройвим
войны	нйыво	онвый	вйыно
			
корветы	рыоктев	ывктрое	евтрыко
типа	тапи	птиа	тпаи
«флауэр»	афлу»эр«	л«эфуа»р	аэфлр«»у
в	в	в	в
вмф	мфв	фвм	мфв
ссср	рссс	ссср	рссс
класс	аслкс	клсас	сслка
корветов	оввокетр	ввоткоре	ктвроеов
не	не	ен	не
выделялся:	лдявеыс:ля	лве:лсяыдя	:еывяялсдл
с	с	с	с
позиции	пизоииц	иопцизи	оипиицз
советской	тсокоесйв	оейвкстос	котоевсйс
и	и	и	и
российской	соскойрийс	рсссйкойои	йоойрисксс
классификации	фиииаклссакци	сифкаиклииацс	иилиисцккфсаа
класс	саксл	асксл	кссал
корветов	оквтврео	орвовект	вокетвор
соответствует	вуоеоттсетств	тсттоуеетвсов	еттеоувсттовс
классу	куслса	лсаксу	улссак
сторожевых	ореоывхсжт	вотежыхрсо	ртохыжевос
кораблей	окйлабер	блроайке	лакеойбр
ближней	лнижбйе	лйнбежи	нйижбел
зоны	ызно	ныоз	ыонз
в	в	в	в
отличие	лчтоеии	иотчели	тиечоли
от	то	то	то
фрегата	тфгеара	ераафгт	ргфтаеа
			
сторожевого	осожвотерго	осгоерожтов	огтожвеорсо
корабля	олбкяра	клаоярб	рлакбяо
дальней	длньаей	ньледай	ьдеайлн
зоны	ынзо	ыонз	оызн
российские	оисерйсски	киоисерйсс	йрсискоеси
боевые	евбоые	ебеоыв	оебыве
корабли	лкаибор	лкирбоа	рлабоки
проекта	ктопеар	етраокп	кптаеор
			
тип	пти	итп	пти
«стерегущий»	»гищрст«ейуе	усщ«»ртгеейи	«йитеущсге»р
с	с	с	с
позиции	цпизоии	озиипиц	оцпиииз
новейшей	вноййееш	ййнешвое	йеонвйеш
российской	кййиорсосс	йссоройски	ксойсойсри
классификации	скфиакацлсиии	каилиисифскца	сицфсаклииика
вероятно	вронеято	оорянетв	ревтооня
уже	еуж	уеж	уже
официально	ньолициоаф	онлцифаьои	оилофнаиць
отнесены	отыенсне	сннеыеот	еоетыснн
к	к	к	к
классу	куссал	асклсу	усскла
корветов[источник	ооитсеичконтрвк[в	вктчиевио[стрнкоо	чтксоиоиоревтвнк[
не	ен	не	не
указан	занаук	занкау	уаакзн
			
дня	дян	дян	дян
в	в	в	в
классификации	ссккицфииалаи	кфасциикиалис	иискиацафскил
нато	ноат	тнао	ноат
к	к	к	к
классу	сксула	алскус	лкаусс
корветов	оековтвр	вортекво	вкорвтео
отнесены	нытесено	оныентес	нсоынеет
советские	екевоистс	иесоествк	екеиосвтс
российские	иксрйсеисо	сресийиоск	ийссокрсие
малые	млеыа	емаыл	леамы
противолодочные	точнлрдоеоопвиы	вооиетпоолнрыдч	внчрыпдоооеотли
корабли	акиобрл	лкбироа	бокиалр
и	и	и	и
малые	аылме	емыла	лымае
ракетные	аетырекн	атнреыке	атнкеыре
корабли	оарлбик	оклбира	килароб
противолодочный	чолнвйирооптдыо	длиотоповйонырч	оолчвдпоноийрты
и	и	и	и
ракетный	еанрткйы	нктйаеры	нрейкаты
корветы	трыкево	ореывкт	евтокыр
соответственно	втотосеннетвсо	оонневевттстос	отосеттвнсовен
также	ктаже	ажкте	атекж
к	к	к	к
ракетным	кыаенмтр	манеыктр	амкытерн
корветам	ркомвеат	етомварк	вомаркте
относят	ясоттон	сятонто	сотонтя
большие	леиобшь	иоьшебл	бльишое
ракетные	еаекнтры	етерынка	ытнееакр
катера	еткаар	еркаат	еракта
например	мрипарне	мраепинр	нпирамре
ракетные	танеыкре	арытекен	ркыенате
катера	аеактр	ткеаар	ратека
проекта	тоаепрк	рпаекот	аекптор
/	/	/	/
во	во	во	во
флотах	охалтф	оатлфх	лтфаох
других	урдхги	угдихр	уихдгр
государств	ргтвсаосду	одвтгсусра	дауротсгсв
также	екжта	еажтк	тжаек
применяется	српетеяимня	яемнрсяпите	сярпмнеяите
термин	треимн	ирнмте	ниетрм
корвета	еваоктр	отврека	картвео
для	ялд	для	лдя
классификации	сцаииаислфкик	сафкиклиисиац	ицфсаиакиликс
военных	хынеонв	оыеннвх	ыохвенн
кораблей:	:еблакйро	л:еоайркб	:рколйбеа
итал	алит	лиат	тлиа
сorvetta	vreaottс	reatсtov	traeсtvo
в	в	в	в
италии	илииат	илитаи	ииитла
исп	спи	сип	сип
сorbeta	abeoсrt	eсtbora	oerсtba
в	в	в	в
аргентине	ргенаетни	нтаигрене	егинреатн
испании	ниписиа	нпииаис	сапиини
и	и	и	и
доминиканской	ндйиомксоинак	оондмийасккни	йксноимиадонк
республике	реплсикбеу	еериплсукб	рпслбкееуи
порт	порт	птро	птро
corveta	eoctarv	etocavr	ecvotar
в	в	в	в
бразилии[источник	босииизч[траилник	тси[линзриоичиакб	иир[инсоликбчтиаз
не	не	не	не
указан	кнзауа	аункза	назкау
			
дней	ендй	дйен	енйд
см	см	мс	мс
также	кежта	кетаж	тжкеа
эскадренный	энкыесдйнра	рэднакйысне	рэнйеднаскы
миноносец	еноцнисом	сминеоноц	мнисеоонц
противолодочный	члпровыоонтйоди	ыовтночподоирйл	оротыовипчйондл
корабль	бокраль	льркбоа	ьроклаб
охотник	хотноки	отионкх	кохтнио
за	за	за	за
подводными	ниыдодпмво	омпднвыдои	опвниыоддм
лодками	миоадлк	амкодил	икоамлд
littoral	tllraoit	ilotrlta	atilotlr
combat	mbtaco	otmcab	tbaomc
ship	phis	isph	hpis
корветтен-капитан	е-аитвтрннаеопккт	нкттнвекртопиеаа-	вант-тпеаоеткикрн
de:korvettenkapitän	ktäea:vedeitkonprnt	etäe:rketoptvdnnkia	ktr:ekdonäivnettpea
			
аналог	гоаалн	наоалг	аоганл
капитана	нпаткиаа	аканпати	аптаника
			
ранга	нрааг	гнраа	арнга
в	в	в	в
немецкоязычных	цехныязечыокнм	екмоценыхнзыяч	хычеыонзнцкяме
странах	нахарст	сахартн	насратх
примечания	ерпячинима	ирнмаячиеп	раичмнеияп
↑	↑	↑	↑
снисаренко	нсерксиано	исесаокннр	аксеонрнси
а	а	а	а
б	б	б	б
стасим	имстса	мтсаси	стмсиа
пятый	тпыйя	птяйы	яйыпт
нептун	тнеунп	птннеу	нетунп
//	//	//	//
эвпатриды	пэвидтыар	впытраэид	пыиардтвэ
удачи	чаиуд	иудач	дичау
трагедия	гиертаяд	иртгадяе	грядтиеа
античных	ыинчатхн	чтнаынхи	ыатчиннх
морей	мейор	ерймо	ймеро
			
л.:	л:.	л.:	л:.
судостроение	есруидносоет	рнестсоеуоид	судоиернесот
			
			
			
с	с	с	с
			
			
			
экз	кзэ	кэз	зэк
			
isbn	ibsn	snbi	sibn
-7355-0308-	3-580053-7-	357-5-308-0	8-0-530-375
↑	↑	↑	↑
корвет	оектрв	кетвро	вртоке
//	//	//	//
малый	айлмы	лыйам	майлы
энциклопедический	оидкисэлекчнпеийц	чдонкииийцкплеесэ	цдсиееочикйнлпэки
словарь	оьлрвса	саьрлво	рсьлвоа
брокгауза	оагурзкаб	азогбурка	рааоубгкз
и	и	и	и
ефрона	еаорфн	ераноф	фнаеор
:	:	:	:
в	в	в	в
			
т	т	т	т
			
спб	псб	пбс	бпс
			
↑	↑	↑	↑
чернышёв	рывенёшч	шнёеыврч	ынвечёрш
			
с	с	с	с
			
↑	↑	↑	↑
корветы	тыкрвое	ыетркво	еовкырт
рус	сру	рус	уср
«военная	яе«ноавн	нвен«ояа	онв«еяан
россия»	яриссо»	о»сряис	яси»оср
проверено	оевоперрн	рнпооевер	првеоорне
			
апреля	епляар	пляера	елаярп
			
↑	↑	↑	↑
а	а	а	а
б	б	б	б
широкорад	оркашдоир	ркаошдрои	шокаодрир
			
с	с	с	с
			
			
			
литература	арртиутлае	аилтретура	лтиртеаура
чернышёв	ёнчрешыв	нешвчрёы	ёенчвшры
а	а	а	а
а	а	а	а
российский	иййосиксср	ийисройсск	рйсйсикоси
парусный	пйныасур	йпнуырса	арнйспуы
флот	тофл	лфот	лфот
справочник	ванчиропск	арпнчоксви	саропивнчк
			
м.:	:.м	:м.	:.м
воениздат	еиватдзон	ентзвиоад	еванзиотд
			
			
т	т	т	т
			
			
			
с	с	с	с
			
корабли	аркилоб	олкарби	ибклроа
и	и	и	и
суда	уасд	удса	аусд
российского	окойсссргио	сйоигоосскр	йоксоогсиср
флота	олтфа	фолат	фтало
			
			
экз	кэз	зэк	зэк
			
isbn	bisn	sbin	nsbi
-203-01789-	0-3187--290	20-9-03187-	92038--17-0
широкорад	рршоадоик	аоррдшоки	одраирошк
а	а	а	а
б	б	б	б
			
лет	етл	етл	тле
парусного	согуопрна	усопоаргн	сапгроону
флота	аолфт	лтаоф	фтоал
россии	ориисс	сисрио	сирисо
/	/	/	/
под	пдо	доп	доп
ред	дре	ред	дер
а	а	а	а
б	б	б	б
васильева	ьивсавлеа	еавльивас	аьлвсеави
			
-е	е-	-е	е-
изд	диз	диз	зди
			
м.:	.м:	:.м	м:.
вече	вече	евеч	еевч
			
			
			
с	с	с	с
			
isbn	bnsi	bisn	bsin
-5-9533-1517-	75153593---1-	7-1-559-1-533	1-3-37-59551-
ссылки	киыссл	сисылк	лсиыск
commons:	com:sonm	o:omnsmc	mons:mco
корветы	воретык	тыеврко	ктревоы
на	на	ан	на
викискладе	ккиесвиадл	клскдиавеи	лсквдаекии
сергей	есрйег	рйеегс	ресйег
сокут	сукто	туокс	отсук
корветы	выортке	тырокве	ыреоквт
вместо	севтмо	мтоевс	севмто
крейсеров	крсорвйее	йесеорквр	орсрейкве
независимое	онзиаевиемс	звмсеоаении	весезнмиоаи
военное	еенново	еноовен	оеновен
обозрение	низорбоее	обиозерен	нриоеобзе
			
декабря	еярдбка	ябдкера	бекаряд
			
проверено	неповреро	рроеоевпн	еовнеопрр
			
августа	агвсаут	таавгус	асвтагу
			
			
новые	ыеовн	ныоев	енвоы
российские	иксйеиосрс	икерсссийо	осскйирисе
корветы	кыворте	оеырквт	еоытвкр
проекта	аткреоп	поктаер	кеорпта
			
показать]⛭	ьказап]о⛭т	кьаотз]⛭па	апь⛭каотз]
типы	ипты	ыпти	итпы
парусных	пруасных	нахусырп	ыуспнарх
судов	сдвуо	овдус	увсод
категория:	р:гтякиаое	ятеогар:ик	гктеияора:
корветы	ткеырво	оектвыр	ытовкре
навигация	яивницага	ваигняаци	аяиавнциг
вы	вы	ыв	вы
не	не	не	не
представились	стьсиедивалпр	вьлсаеиридпст	дльтеаисирспв
системе	смсетие	истеемс	еитссем
обсуждение	ужеобнсиде	обнсеждуеи	одинежесуб
вклад	авдлк	дклва	алдкв
создать	дьазтсо	оздстаь	ьзоасдт
учётную	тючуёну	тунёчюу	юнутёчу
запись	зисьпа	сьизпа	ьпсзаи
войти	оийтв	итвой	йвтои
статья	ьаятст	тьтяас	ьстатя
